Date,Region,Topic,Severity,Affected_States,Description,Recommended_Action
2025-01-01,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-01-02,Southern,Normal,Low,"Karnataka,Tamil Nadu",Normal market conditions,Continue standard operations
2025-01-03,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-01-04,Western,Normal,Low,"Gujarat,Rajasthan",Normal market conditions,Continue standard operations
2025-01-05,North-Eastern,Normal,Low,"Assam,Tripura",Normal market conditions,Continue standard operations
2025-01-06,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-01-07,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-01-08,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-01-09,Northern,Normal,Low,"Jammu & Kashmir,Haryana",Normal market conditions,Continue standard operations
2025-01-10,Eastern,Normal,Low,"Odisha,Bihar",Normal market conditions,Continue standard operations
2025-01-11,Southern,Normal,Low,"Tamil Nadu,Karnataka",Normal market conditions,Continue standard operations
2025-01-12,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-01-13,Western,Normal,Low,"Rajasthan,Gujarat",Normal market conditions,Continue standard operations
2025-01-14,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-01-15,Western,Normal,Low,"Maharashtra,Gujarat,Rajasthan,Goa",Normal market conditions,Continue standard operations
2025-01-16,Northern,Normal,Low,"Haryana,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-01-17,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-01-18,Southern,Normal,Low,"Andhra Pradesh,Kerala",Normal market conditions,Continue standard operations
2025-01-19,Eastern,Policy_Change,High,"Bihar,West Bengal",New GST rate changes announced,Update tax calculations
2025-01-20,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-01-21,Eastern,Labor_Strike,High,"West Bengal,Odisha,Bihar,Jharkhand",Transport workers strike in region,Buffer lead times by 15 days
2025-01-22,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-01-23,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-01-24,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-01-25,Eastern,Normal,Low,"Jharkhand,Odisha",Normal market conditions,Continue standard operations
2025-01-26,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-01-27,Eastern,Normal,Low,"Odisha,West Bengal",Normal market conditions,Continue standard operations
2025-01-28,North-Eastern,Normal,Low,"Nagaland,Assam",Normal market conditions,Continue standard operations
2025-01-29,Western,Normal,Low,"Rajasthan,Gujarat",Normal market conditions,Continue standard operations
2025-01-30,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-01-31,Southern,Normal,Low,"Kerala,Andhra Pradesh",Normal market conditions,Continue standard operations
2025-02-01,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-02-02,Eastern,Normal,Low,"Odisha,West Bengal",Normal market conditions,Continue standard operations
2025-02-03,Western,Normal,Low,"Maharashtra,Gujarat,Rajasthan,Goa",Normal market conditions,Continue standard operations
2025-02-04,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-02-05,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-02-06,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-02-07,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-02-08,Southern,Normal,Low,"Kerala,Telangana",Normal market conditions,Continue standard operations
2025-02-09,North-Eastern,Normal,Low,"Manipur,Meghalaya",Normal market conditions,Continue standard operations
2025-02-10,Western,Normal,Low,"Gujarat,Maharashtra",Normal market conditions,Continue standard operations
2025-02-11,Southern,Labor_Strike,Medium,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Transport workers strike in region,Buffer lead times by 15 days
2025-02-12,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-02-13,Northern,Labor_Strike,Medium,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Transport workers strike in region,Buffer lead times by 15 days
2025-02-14,Southern,Policy_Change,High,"Karnataka,Tamil Nadu",New GST rate changes announced,Update tax calculations
2025-02-15,Southern,RoW_Issue,High,"Kerala,Tamil Nadu",Land acquisition delays reported,Hold procurement for affected projects
2025-02-16,North-Eastern,Normal,Low,"Meghalaya,Tripura",Normal market conditions,Continue standard operations
2025-02-17,Northern,Normal,Low,"Uttarakhand,Punjab",Normal market conditions,Continue standard operations
2025-02-18,Western,Normal,Low,"Maharashtra,Gujarat,Rajasthan,Goa",Normal market conditions,Continue standard operations
2025-02-19,Eastern,Normal,Low,"Bihar,West Bengal",Normal market conditions,Continue standard operations
2025-02-20,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-02-21,North-Eastern,Normal,Low,"Tripura,Meghalaya",Normal market conditions,Continue standard operations
2025-02-22,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-02-23,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-02-24,Northern,Normal,Low,"Delhi,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-02-25,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-02-26,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-02-27,Southern,Normal,Low,"Telangana,Kerala",Normal market conditions,Continue standard operations
2025-02-28,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-03-01,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-03-02,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-03-03,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-03-04,Eastern,Normal,Low,"Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-03-05,Western,Commodity_Price_Spike,High,"Maharashtra,Gujarat",Steel prices increased by 15-20%,Review vendor contracts
2025-03-06,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-03-07,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-03-08,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-03-09,North-Eastern,Labor_Strike,High,"Meghalaya,Tripura",Transport workers strike in region,Buffer lead times by 15 days
2025-03-10,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-03-11,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-03-12,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-03-13,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-03-14,Southern,Normal,Low,"Andhra Pradesh,Kerala",Normal market conditions,Continue standard operations
2025-03-15,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-03-16,Eastern,Normal,Low,"Bihar,West Bengal",Normal market conditions,Continue standard operations
2025-03-17,North-Eastern,Normal,Low,"Manipur,Tripura",Normal market conditions,Continue standard operations
2025-03-18,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-03-19,North-Eastern,Normal,Low,"Assam,Meghalaya",Normal market conditions,Continue standard operations
2025-03-20,Eastern,Policy_Change,High,"Bihar,West Bengal",New GST rate changes announced,Update tax calculations
2025-03-21,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-03-22,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-03-23,Southern,Normal,Low,"Tamil Nadu,Telangana",Normal market conditions,Continue standard operations
2025-03-24,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-03-25,North-Eastern,Normal,Low,"Manipur,Tripura",Normal market conditions,Continue standard operations
2025-03-26,North-Eastern,Normal,Low,"Tripura,Manipur",Normal market conditions,Continue standard operations
2025-03-27,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-03-28,Southern,Normal,Low,"Karnataka,Andhra Pradesh",Normal market conditions,Continue standard operations
2025-03-29,North-Eastern,Normal,Low,"Assam,Nagaland",Normal market conditions,Continue standard operations
2025-03-30,North-Eastern,Normal,Low,"Nagaland,Meghalaya",Normal market conditions,Continue standard operations
2025-03-31,Western,Normal,Low,"Maharashtra,Gujarat,Rajasthan,Goa",Normal market conditions,Continue standard operations
2025-04-01,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-04-02,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-04-03,Southern,Normal,Low,"Telangana,Andhra Pradesh",Normal market conditions,Continue standard operations
2025-04-04,Northern,Normal,Low,"Uttarakhand,Punjab",Normal market conditions,Continue standard operations
2025-04-05,Southern,Normal,Low,"Kerala,Tamil Nadu",Normal market conditions,Continue standard operations
2025-04-06,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-04-07,Eastern,Normal,Low,"Odisha,West Bengal",Normal market conditions,Continue standard operations
2025-04-08,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-04-09,Western,Commodity_Price_Spike,High,"Goa,Gujarat",Steel prices increased by 15-20%,Review vendor contracts
2025-04-10,North-Eastern,Normal,Low,"Manipur,Tripura",Normal market conditions,Continue standard operations
2025-04-11,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-04-12,Eastern,Commodity_Price_Spike,Medium,"West Bengal,Odisha,Bihar,Jharkhand",Steel prices increased by 15-20%,Review vendor contracts
2025-04-13,Southern,RoW_Issue,High,"Andhra Pradesh,Tamil Nadu",Land acquisition delays reported,Hold procurement for affected projects
2025-04-14,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-04-15,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-04-16,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-04-17,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-04-18,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-04-19,Northern,Normal,Low,"Punjab,Delhi",Normal market conditions,Continue standard operations
2025-04-20,Southern,Labor_Strike,High,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Transport workers strike in region,Buffer lead times by 15 days
2025-04-21,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-04-22,Northern,Normal,Low,"Punjab,Uttarakhand",Normal market conditions,Continue standard operations
2025-04-23,Northern,Normal,Low,"Punjab,Himachal Pradesh",Normal market conditions,Continue standard operations
2025-04-24,Western,Normal,Low,"Maharashtra,Gujarat",Normal market conditions,Continue standard operations
2025-04-25,Western,Normal,Low,"Rajasthan,Maharashtra",Normal market conditions,Continue standard operations
2025-04-26,North-Eastern,Normal,Low,"Manipur,Tripura",Normal market conditions,Continue standard operations
2025-04-27,North-Eastern,Normal,Low,"Meghalaya,Nagaland",Normal market conditions,Continue standard operations
2025-04-28,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-04-29,Eastern,Normal,Low,"West Bengal,Bihar",Normal market conditions,Continue standard operations
2025-04-30,Eastern,Normal,Low,"Odisha,West Bengal",Normal market conditions,Continue standard operations
2025-05-01,Southern,Normal,Low,"Telangana,Kerala",Normal market conditions,Continue standard operations
2025-05-02,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-05-03,Eastern,Normal,Low,"West Bengal,Odisha",Normal market conditions,Continue standard operations
2025-05-04,Southern,Normal,Low,"Kerala,Telangana",Normal market conditions,Continue standard operations
2025-05-05,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-05-06,Western,Normal,Low,"Maharashtra,Gujarat,Rajasthan,Goa",Normal market conditions,Continue standard operations
2025-05-07,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-05-08,Eastern,Normal,Low,"Bihar,Odisha",Normal market conditions,Continue standard operations
2025-05-09,Western,Normal,Low,"Goa,Maharashtra",Normal market conditions,Continue standard operations
2025-05-10,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-05-11,Southern,Normal,Low,"Tamil Nadu,Telangana",Normal market conditions,Continue standard operations
2025-05-12,North-Eastern,Normal,Low,"Assam,Nagaland",Normal market conditions,Continue standard operations
2025-05-13,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-05-14,Northern,Normal,Low,"Uttarakhand,Punjab",Normal market conditions,Continue standard operations
2025-05-15,Western,Normal,Low,"Maharashtra,Gujarat,Rajasthan,Goa",Normal market conditions,Continue standard operations
2025-05-16,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-05-17,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-05-18,Southern,Normal,Low,"Andhra Pradesh,Tamil Nadu",Normal market conditions,Continue standard operations
2025-05-19,Southern,Normal,Low,"Telangana,Andhra Pradesh",Normal market conditions,Continue standard operations
2025-05-20,Eastern,Normal,Low,"Jharkhand,Odisha",Normal market conditions,Continue standard operations
2025-05-21,Western,Normal,Low,"Maharashtra,Gujarat",Normal market conditions,Continue standard operations
2025-05-22,Northern,Normal,Low,"Delhi,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-05-23,Eastern,Policy_Change,Medium,"West Bengal,Odisha,Bihar,Jharkhand",New GST rate changes announced,Update tax calculations
2025-05-24,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-05-25,Southern,Normal,Low,"Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-05-26,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-05-27,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-05-28,North-Eastern,Normal,Low,"Assam,Meghalaya,Manipur,Nagaland,Tripura",Normal market conditions,Continue standard operations
2025-05-29,Eastern,RoW_Issue,Medium,"West Bengal,Odisha,Bihar,Jharkhand",Land acquisition delays reported,Hold procurement for affected projects
2025-05-30,Southern,Normal,Low,"Tamil Nadu,Telangana",Normal market conditions,Continue standard operations
2025-05-31,Western,Normal,Low,"Maharashtra,Gujarat,Rajasthan,Goa",Normal market conditions,Continue standard operations
2025-06-01,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-06-02,North-Eastern,Normal,Low,"Assam,Meghalaya",Normal market conditions,Continue standard operations
2025-06-03,Northern,Normal,Low,"Himachal Pradesh,Uttarakhand",Normal market conditions,Continue standard operations
2025-06-04,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-06-05,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-06-06,Northern,Normal,Low,"Delhi,Punjab,Haryana,Himachal Pradesh,Uttarakhand,Jammu & Kashmir",Normal market conditions,Continue standard operations
2025-06-07,North-Eastern,Labor_Strike,High,"Manipur,Meghalaya",Transport workers strike in region,Buffer lead times by 15 days
2025-06-08,Western,Normal,Low,"Gujarat,Goa",Normal market conditions,Continue standard operations
2025-06-09,Northern,Normal,Low,"Uttarakhand,Punjab",Normal market conditions,Continue standard operations
2025-06-10,Southern,Normal,Low,"Karnataka,Kerala",Normal market conditions,Continue standard operations
2025-06-11,Southern,Normal,Low,"Kerala,Andhra Pradesh",Normal market conditions,Continue standard operations
2025-06-12,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-06-13,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-06-14,Western,Normal,Low,"Maharashtra,Rajasthan",Normal market conditions,Continue standard operations
2025-06-15,Southern,Normal,Low,"Tamil Nadu,Andhra Pradesh",Normal market conditions,Continue standard operations
2025-06-16,Western,Normal,Low,"Maharashtra,Gujarat,Rajasthan,Goa",Normal market conditions,Continue standard operations
2025-06-17,Southern,Normal,Low,"Karnataka,Tamil Nadu",Normal market conditions,Continue standard operations
2025-06-18,Southern,Normal,Low,"Telangana,Karnataka",Normal market conditions,Continue standard operations
2025-06-19,Western,Normal,Low,"Gujarat,Goa",Normal market conditions,Continue standard operations
2025-06-20,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-06-21,Western,Normal,Low,"Maharashtra,Rajasthan",Normal market conditions,Continue standard operations
2025-06-22,North-Eastern,Policy_Change,Medium,"Nagaland,Meghalaya",New GST rate changes announced,Update tax calculations
2025-06-23,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-06-24,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-06-25,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-06-26,Southern,Normal,Low,"Kerala,Tamil Nadu",Normal market conditions,Continue standard operations
2025-06-27,Southern,Normal,Low,"Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,Telangana",Normal market conditions,Continue standard operations
2025-06-28,Western,Normal,Low,"Maharashtra,Gujarat,Rajasthan,Goa",Normal market conditions,Continue standard operations
2025-06-29,North-Eastern,Normal,Low,"Nagaland,Manipur",Normal market conditions,Continue standard operations
2025-06-30,Eastern,Normal,Low,"West Bengal,Odisha,Bihar,Jharkhand",Normal market conditions,Continue standard operations
2025-07-01,Western,Normal,Low,"Maharashtra,Gujarat,Rajasthan,Goa",Normal market conditions,Continue standard operations
